Time,Source_IP,Destination_IP,Source_Port,Destination_Port,MQTT_Type,MQTT_Topic,MQTT_Payload,Temperature (°C),Humidity (%),Packet_Length,Protocol,Dir,Flgs,SrcBytes,DstBytes,Load,Loss,Jitter,SrcGap,DstGap,SIntPkt,DIntPkt,SIntPktAct,DIntPktAct,sMaxPktSz,dMaxPktSz,sMinPktSz,dMinPktSz,Dur,Trans,TotPkts,TotBytes,Rate,Label
1744349746,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,2.394567261,3.075599909,3.075599909,3.075599909,3.075599909,3.075599909,3.075599909,58,57,57,58,3.075599909,1,1,115,0.325129249,0
1744349749,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,4.19814922,2.92978096,2.92978096,2.92978096,2.92978096,2.92978096,2.92978096,58,57,57,58,2.92978096,1,1,115,0.341310795,0
1744349752,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,1.384648119,3.009318113,3.009318113,3.009318113,3.009318113,3.009318113,3.009318113,58,57,57,58,3.009318113,1,1,115,0.332290151,0
1744349755,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,0.32831898,3.064025879,3.064025879,3.064025879,3.064025879,3.064025879,3.064025879,58,57,57,58,3.064025879,1,1,115,0.326357349,0
1744349758,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,2.820619345,3.012159109,3.012159109,3.012159109,3.012159109,3.012159109,3.012159109,58,57,57,58,3.012159109,1,1,115,0.331976754,0
1744349761,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,4.441995182,3.027723074,3.027723074,3.027723074,3.027723074,3.027723074,3.027723074,58,57,57,58,3.027723074,1,1,115,0.330270288,0
1744349764,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,2.899299786,3.018764019,3.018764019,3.018764019,3.018764019,3.018764019,3.018764019,58,57,57,58,3.018764019,1,1,115,0.331250429,0
1744349767,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,0.667417544,2.967169046,2.967169046,2.967169046,2.967169046,2.967169046,2.967169046,58,57,57,58,2.967169046,1,1,115,0.337010222,0
1744349770,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,2.558978001,3.027562857,3.027562857,3.027562857,3.027562857,3.027562857,3.027562857,58,57,57,58,3.027562857,1,1,115,0.330287766,0
1744349773,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,3.347707656,3.032380104,3.032380104,3.032380104,3.032380104,3.032380104,3.032380104,58,57,57,58,3.032380104,1,1,115,0.329763087,0
1744349776,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,4.410966307,3.053673029,3.053673029,3.053673029,3.053673029,3.053673029,3.053673029,58,57,57,58,3.053673029,1,1,115,0.327463761,0
1744349779,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,4.803912254,3.004901886,3.004901886,3.004901886,3.004901886,3.004901886,3.004901886,58,57,57,58,3.004901886,1,1,115,0.332778493,0
1744349782,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,1.39846595,3.058719158,3.058719158,3.058719158,3.058719158,3.058719158,3.058719158,58,57,57,58,3.058719158,1,1,115,0.326923544,0
1744349785,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,0.073267464,2.954782009,2.954782009,2.954782009,2.954782009,2.954782009,2.954782009,58,57,57,58,2.954782009,1,1,115,0.338422988,0
1744349788,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,1.847828936,3.021881104,3.021881104,3.021881104,3.021881104,3.021881104,3.021881104,58,57,57,58,3.021881104,1,1,115,0.330908753,0
1744349791,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,3.707896447,3.030491829,3.030491829,3.030491829,3.030491829,3.030491829,3.030491829,58,57,57,58,3.030491829,1,1,115,0.329968553,0
1744349794,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,3.924578035,3.035585165,3.035585165,3.035585165,3.035585165,3.035585165,3.035585165,58,57,57,58,3.035585165,1,1,115,0.329414925,0
1744349797,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,0.271700497,3.033617973,3.033617973,3.033617973,3.033617973,3.033617973,3.033617973,58,57,57,58,3.033617973,1,1,115,0.329628531,0
1744349800,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,0.583962545,3.032081842,3.032081842,3.032081842,3.032081842,3.032081842,3.032081842,58,57,57,58,3.032081842,1,1,115,0.329795524,0
